No,TMNo,EnNo,Name,Column1,GMNo,Mode,IN/OUT,Antipass,DateTime
145,1,5,          ,1,1, ,0,3/12/2021 7:09,
146,1,53,          ,1,1, ,0,3/12/2021 7:11,
147,1,55,          ,1,1, ,0,3/12/2021 7:11,
148,1,11,          ,1,1, ,0,3/12/2021 7:11,
149,1,34,          ,1,1, ,0,3/12/2021 7:11,
150,1,38,          ,1,1, ,0,3/12/2021 7:11,
151,1,37,          ,1,1, ,0,3/12/2021 7:12,
152,1,32,          ,1,1, ,0,3/12/2021 7:12,
153,1,55,          ,1,1, ,0,3/12/2021 7:12,
154,1,23,          ,1,1, ,0,3/12/2021 7:13,
155,1,15,          ,1,1, ,0,3/12/2021 7:13,
156,1,59,          ,1,1, ,0,3/12/2021 7:14,
157,1,9,          ,1,1, ,0,3/12/2021 7:15,
158,1,17,          ,1,1, ,0,3/12/2021 7:16,
159,1,17,          ,1,1, ,0,3/12/2021 7:16,
160,1,52,          ,1,1, ,0,3/12/2021 7:16,
161,1,10,          ,1,1, ,0,3/12/2021 7:16,
162,1,7,          ,1,1, ,0,3/12/2021 7:16,
163,1,3,          ,1,1, ,0,3/12/2021 7:17,
164,1,54,          ,1,1, ,0,3/12/2021 7:17,
165,1,21,          ,1,1, ,0,3/12/2021 7:17,
166,1,20,          ,1,1, ,0,3/12/2021 7:18,
167,1,8,          ,1,1, ,0,3/12/2021 7:20,
168,1,31,          ,1,1, ,0,3/12/2021 7:21,
169,1,2,          ,1,1, ,0,3/12/2021 7:21,
170,1,26,          ,1,1, ,0,3/12/2021 7:21,
171,1,44,          ,1,1, ,0,3/12/2021 7:21,
172,1,33,          ,1,1, ,0,3/12/2021 7:23,
173,1,35,          ,1,1, ,0,3/12/2021 7:26,
174,1,49,          ,1,1, ,0,3/12/2021 7:27,
175,1,57,          ,1,1, ,0,3/12/2021 7:29,
176,1,39,          ,1,1, ,0,3/12/2021 7:29,
177,1,4,          ,1,1, ,0,3/12/2021 7:34,
178,1,48,          ,1,1, ,0,3/12/2021 7:35,
179,1,19,          ,1,1, ,0,3/12/2021 7:39,
180,1,36,          ,1,1, ,0,3/12/2021 7:42,
181,1,29,          ,1,1, ,0,3/12/2021 7:42,
182,1,24,          ,1,1, ,0,3/12/2021 7:45,
183,1,46,          ,1,1, ,0,3/12/2021 7:45,
184,1,13,          ,1,1, ,0,3/12/2021 7:48,
185,1,56,          ,1,1, ,0,3/12/2021 12:00,
186,1,58,          ,1,1, ,0,3/12/2021 12:00,
187,1,50,          ,1,1, ,0,3/12/2021 12:00,
188,1,24,          ,1,1, ,0,3/12/2021 12:00,
189,1,13,          ,1,1, ,0,3/12/2021 12:00,
190,1,19,          ,1,1, ,0,3/12/2021 12:00,
191,1,21,          ,1,1, ,0,3/12/2021 12:00,
192,1,8,          ,1,1, ,0,3/12/2021 12:00,
193,1,4,          ,1,1, ,0,3/12/2021 12:00,
194,1,10,          ,1,1, ,0,3/12/2021 12:00,
195,1,36,          ,1,1, ,0,3/12/2021 12:00,
196,1,31,          ,1,1, ,0,3/12/2021 12:00,
197,1,3,          ,1,1, ,0,3/12/2021 12:01,
198,1,55,          ,1,1, ,0,3/12/2021 12:01,
199,1,39,          ,1,1, ,0,3/12/2021 12:01,
200,1,26,          ,1,1, ,0,3/12/2021 12:01,
201,1,44,          ,1,1, ,0,3/12/2021 12:01,
202,1,9,          ,1,1, ,0,3/12/2021 12:01,
203,1,29,          ,1,1, ,0,3/12/2021 12:02,
204,1,45,          ,1,1, ,0,3/12/2021 12:02,
205,1,6,          ,1,1, ,0,3/12/2021 12:03,
206,1,52,          ,1,1, ,0,3/12/2021 12:03,
207,1,34,          ,1,1, ,0,3/12/2021 12:03,
208,1,35,          ,1,1, ,0,3/12/2021 12:04,
209,1,25,          ,1,1, ,0,3/12/2021 12:04,
210,1,40,          ,1,1, ,0,3/12/2021 12:04,
211,1,14,          ,1,1, ,0,3/12/2021 12:04,
212,1,38,          ,1,1, ,0,3/12/2021 12:05,
213,1,54,          ,1,1, ,0,3/12/2021 12:05,
214,1,32,          ,1,1, ,0,3/12/2021 12:06,
215,1,18,          ,1,1, ,0,3/12/2021 12:06,
216,1,51,          ,1,1, ,0,3/12/2021 12:07,
217,1,53,          ,1,1, ,0,3/12/2021 12:07,
218,1,59,          ,1,1, ,0,3/12/2021 12:07,
219,1,46,          ,1,1, ,0,3/12/2021 12:08,
220,1,16,          ,1,1, ,0,3/12/2021 12:09,
221,1,8,          ,1,1, ,0,3/12/2021 12:10,
222,1,36,          ,1,1, ,0,3/12/2021 12:10,
223,1,36,          ,1,1, ,0,3/12/2021 12:10,
224,1,24,          ,1,1, ,0,3/12/2021 12:11,
225,1,5,          ,1,1, ,0,3/12/2021 12:11,
226,1,19,          ,1,1, ,0,3/12/2021 12:12,
227,1,55,          ,1,1, ,0,3/12/2021 12:12,
228,1,50,          ,1,1, ,0,3/12/2021 12:12,
229,1,45,          ,1,1, ,0,3/12/2021 12:13,
230,1,34,          ,1,1, ,0,3/12/2021 12:13,
231,1,34,          ,1,1, ,0,3/12/2021 12:14,
232,1,52,          ,1,1, ,0,3/12/2021 12:14,
233,1,58,          ,1,1, ,0,3/12/2021 12:14,
234,1,54,          ,1,1, ,0,3/12/2021 12:16,
235,1,40,          ,1,1, ,0,3/12/2021 12:16,
236,1,6,          ,1,1, ,0,3/12/2021 12:17,
237,1,46,          ,1,1, ,0,3/12/2021 12:18,
238,1,38,          ,1,1, ,0,3/12/2021 12:18,
239,1,18,          ,1,1, ,0,3/12/2021 12:18,
240,1,20,          ,1,1, ,0,3/12/2021 12:19,
241,1,59,          ,1,1, ,0,3/12/2021 12:19,
242,1,37,          ,1,1, ,0,3/12/2021 12:20,
243,1,17,          ,1,1, ,0,3/12/2021 12:22,
244,1,2,          ,1,1, ,0,3/12/2021 12:22,
245,1,16,          ,1,1, ,0,3/12/2021 12:22,
246,1,29,          ,1,1, ,0,3/12/2021 12:25,
247,1,26,          ,1,1, ,0,3/12/2021 12:25,
248,1,11,          ,1,1, ,0,3/12/2021 12:25,
249,1,33,          ,1,1, ,0,3/12/2021 12:26,
250,1,31,          ,1,1, ,0,3/12/2021 12:26,
251,1,31,          ,1,1, ,0,3/12/2021 12:26,
252,1,15,          ,1,1, ,0,3/12/2021 12:27,
253,1,23,          ,1,1, ,0,3/12/2021 12:27,
254,1,49,          ,1,1, ,0,3/12/2021 12:28,
255,1,57,          ,1,1, ,0,3/12/2021 12:28,
256,1,48,          ,1,1, ,0,3/12/2021 12:29,
257,1,37,          ,1,1, ,0,3/12/2021 12:30,
258,1,20,          ,1,1, ,0,3/12/2021 12:30,
259,1,21,          ,1,1, ,0,3/12/2021 12:30,
260,1,56,          ,1,1, ,0,3/12/2021 12:32,
261,1,32,          ,1,1, ,0,3/12/2021 12:39,
262,1,3,          ,1,1, ,0,3/12/2021 12:40,
263,1,10,          ,1,1, ,0,3/12/2021 12:41,
264,1,13,          ,1,1, ,0,3/12/2021 12:41,
265,1,9,          ,1,1, ,0,3/12/2021 12:41,
266,1,9,          ,1,1, ,0,3/12/2021 12:42,
267,1,7,          ,1,1, ,0,3/12/2021 12:42,
268,1,11,          ,1,1, ,0,3/12/2021 12:42,
269,1,33,          ,1,1, ,0,3/12/2021 12:42,
270,1,57,          ,1,1, ,0,3/12/2021 12:42,
271,1,51,          ,1,1, ,0,3/12/2021 12:43,
272,1,53,          ,1,1, ,0,3/12/2021 12:43,
273,1,14,          ,1,1, ,0,3/12/2021 12:43,
274,1,14,          ,1,1, ,0,3/12/2021 12:43,
275,1,14,          ,1,1, ,0,3/12/2021 12:43,
276,1,14,          ,1,1, ,0,3/12/2021 12:43,
277,1,14,          ,1,1, ,0,3/12/2021 12:44,
278,1,39,          ,1,1, ,0,3/12/2021 12:44,
279,1,4,          ,1,1, ,0,3/12/2021 12:44,
280,1,48,          ,1,1, ,0,3/12/2021 12:44,
281,1,15,          ,1,1, ,0,3/12/2021 12:48,
282,1,23,          ,1,1, ,0,3/12/2021 12:48,
283,1,49,          ,1,1, ,0,3/12/2021 12:50,
284,1,17,          ,1,1, ,0,3/12/2021 12:50,
285,1,17,          ,1,1, ,0,3/12/2021 12:50,
286,1,2,          ,1,1, ,0,3/12/2021 12:50,
287,1,17,          ,1,1, ,0,3/12/2021 12:51,
288,1,5,          ,1,1, ,0,3/12/2021 12:54,
289,1,35,          ,1,1, ,0,3/12/2021 12:55,
290,1,25,          ,1,1, ,0,3/12/2021 12:55,
291,1,7,          ,1,1, ,0,3/12/2021 12:57,
292,1,48,          ,1,1, ,0,3/12/2021 16:00,
293,1,7,          ,1,1, ,0,3/12/2021 16:00,
294,1,23,          ,1,1, ,0,3/12/2021 16:00,
295,1,57,          ,1,1, ,0,3/12/2021 16:01,
296,1,20,          ,1,1, ,0,3/12/2021 16:01,
297,1,49,          ,1,1, ,0,3/12/2021 16:01,
298,1,38,          ,1,1, ,0,3/12/2021 16:01,
299,1,16,          ,1,1, ,0,3/12/2021 16:02,
300,1,39,          ,1,1, ,0,3/12/2021 16:02,
301,1,15,          ,1,1, ,0,3/12/2021 16:02,
302,1,17,          ,1,1, ,0,3/12/2021 16:02,
303,1,17,          ,1,1, ,0,3/12/2021 16:02,
304,1,59,          ,1,1, ,0,3/12/2021 16:02,
305,1,37,          ,1,1, ,0,3/12/2021 16:02,
306,1,29,          ,1,1, ,0,3/12/2021 16:03,
307,1,18,          ,1,1, ,0,3/12/2021 16:03,
308,1,34,          ,1,1, ,0,3/12/2021 16:03,
309,1,25,          ,1,1, ,0,3/12/2021 16:03,
310,1,40,          ,1,1, ,0,3/12/2021 16:03,
311,1,11,          ,1,1, ,0,3/12/2021 16:03,
312,1,9,          ,1,1, ,0,3/12/2021 16:03,
313,1,19,          ,1,1, ,0,3/12/2021 16:04,
314,1,5,          ,1,1, ,0,3/12/2021 16:04,
315,1,35,          ,1,1, ,0,3/12/2021 16:04,
316,1,14,          ,1,1, ,0,3/12/2021 16:05,
317,1,21,          ,1,1, ,0,3/12/2021 16:05,
318,1,6,          ,1,1, ,0,3/12/2021 16:05,
319,1,52,          ,1,1, ,0,3/12/2021 16:05,
320,1,55,          ,1,1, ,0,3/12/2021 16:05,
321,1,50,          ,1,1, ,0,3/12/2021 16:05,
322,1,58,          ,1,1, ,0,3/12/2021 16:05,
323,1,8,          ,1,1, ,0,3/12/2021 16:05,
324,1,31,          ,1,1, ,0,3/12/2021 16:06,
325,1,31,          ,1,1, ,0,3/12/2021 16:06,
326,1,26,          ,1,1, ,0,3/12/2021 16:06,
327,1,26,          ,1,1, ,0,3/12/2021 16:06,
